id_umkm,nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan,laba_negatif,omset_bin_temp,total_tenaga_kerja,usia_usaha,profit_margin,roa,asset_turnover
28828580.0,UD. Erlangga Wiyata,Kesehatan,95,41,1961437.0,11702080.0,Website Sendiri,26,Belum Terdaftar,2004,9740643.0,408000000.0,26,0,Rendah,136,21,0.832385538948158,4.966072340803023,5.96607183097299
28828581.0,UD. Hasna Saputranegara,Kesehatan,51,47,606340.0,13250815.0,Shopee,143,Belum Terdaftar,2019,12644475.0,294000000.0,143,0,Rendah,98,6,0.9542412331436796,20.853735769146404,21.853734119909422
28828582.0,UD. Halim Surya,Jasa,76,99,5782560.0,19091583.0,Tokopedia,581,Belum Terdaftar,2000,13309023.0,525000000.0,581,0,Sedang,175,25,0.697114655337137,2.3015793521244308,3.3015791791906737
28828583.0,UD. Farhan Mulyo,Pendidikan,86,60,7888385.0,42399115.0,Website Sendiri,321,Belum Terdaftar,2009,34510730.0,438000000.0,321,0,Tinggi,146,16,0.8139492813953951,4.374878460562148,5.374878333793504
28828584.0,UD. Farhan Sukadarma,Perdagangan,99,61,1242635.0,43856444.0,Tokopedia,661,Belum Terdaftar,2016,42613809.0,480000000.0,661,0,Tinggi,160,9,0.9716658292754919,34.293074560852894,35.29307375611201
28828585.0,UD. Qisha Saprahan,Perdagangan,57,54,8835217.0,49273062.0,Bukalapak,542,Belum Terdaftar,2022,40437845.0,333000000.0,542,0,Tinggi,111,3,0.8206886793297181,4.57689272635944,5.5768926131760415
28828586.0,UD. Tasya Tunggul,Kesehatan,93,0,8613350.0,38233714.0,Website Sendiri,852,Terdaftar,2024,29620364.0,387000000.0,852,0,Tinggi,93,1,0.7747184389484516,3.438889695775779,4.438889579676946
28828587.0,UD. Yudi Kamajaya,Pendidikan,21,14,6784828.0,14384473.0,Website Sendiri,203,Terdaftar,2018,7599645.0,105000000.0,203,0,Rendah,35,7,0.5283227596643436,1.1200938151867939,2.120093667799144
28828588.0,UD. Putri Wiraatmaja Rafif,Perdagangan,44,58,4791730.0,32741496.0,Website Sendiri,904,Terdaftar,2016,27949766.0,306000000.0,904,0,Sedang,102,9,0.8536496055754568,5.832916330236401,6.83291612154355
28828589.0,UD. Olivia Kusumasari,Pendidikan,61,62,7010703.0,33753747.0,Shopee,669,Terdaftar,2020,26743044.0,369000000.0,669,0,Sedang,123,5,0.7922985026729477,3.8146017860688457,4.8146016434298184
28828590.0,UD. Dea Tunggul Ziva,Perdagangan,41,65,3938582.0,46254838.0,Website Sendiri,841,Terdaftar,2014,42316256.0,318000000.0,841,0,Tinggi,106,11,0.9148503576025852,10.744030530777186,11.744030276878766
28828591.0,UD. Iqra Panji,Pendidikan,66,41,4765067.0,35105093.0,Tokopedia,633,Belum Terdaftar,2002,30340026.0,321000000.0,633,0,Tinggi,107,23,0.8642627762227328,6.367175872411474,7.36717566255088
28828592.0,UD. Tono Surapati,Kesehatan,8,30,5623602.0,35927094.0,Website Sendiri,285,Terdaftar,2009,30303492.0,114000000.0,285,0,Tinggi,38,16,0.8434718142393645,5.388625761811422,6.388625583989482
28828593.0,UD. Qisha Kusumah,Perdagangan,63,5,5902996.0,42314822.0,Shopee,104,Terdaftar,2013,36411826.0,204000000.0,104,0,Tinggi,68,12,0.8604981285163358,6.1683626130929765,7.168362443687503
28828594.0,UD. Tari Jayeng,Pendidikan,14,18,6031918.0,20499344.0,Shopee,173,Terdaftar,2016,14467426.0,96000000.0,173,0,Sedang,32,9,0.7057506471548237,2.3984781625880585,3.398477996803339
28828595.0,UD. Uli Widhi,Pendidikan,29,37,3991688.0,5435097.0,Bukalapak,327,Belum Terdaftar,2016,1443409.0,198000000.0,327,0,Rendah,66,9,0.2655718443347296,0.36160357182135183,1.3616033213008327
28828596.0,UD. Clarissa Cahaya,Kesehatan,25,78,1501660.0,15602357.0,Tokopedia,545,Terdaftar,2005,14100697.0,309000000.0,545,0,Rendah,103,20,0.9037542274058832,9.390066732771245,10.390066066841984
28828597.0,UD. Nisa Hastinapura,Pendidikan,93,32,3956511.0,23171998.0,Lazada,991,Belum Terdaftar,2012,19215487.0,375000000.0,991,0,Sedang,125,13,0.8292546102733734,4.8566735043391756,5.8566732515913005
28828598.0,UD. Chiko Suryaatmaja,Perdagangan,68,89,2523098.0,3962038.0,Tokopedia,914,Terdaftar,2006,1438940.0,471000000.0,914,0,Rendah,157,19,0.3631816849859378,0.5703065951831459,1.5703061988451503
28828599.0,UD. Damar Panji,Kesehatan,94,52,3862258.0,2895777.0,Lazada,195,Belum Terdaftar,2008,-966481.0,438000000.0,195,1,Rendah,146,17,-0.33375521189814966,-0.2502372316305043,0.7497625094536643
28828600.0,UD. Qayla Sukarela,Kesehatan,21,29,6395001.0,36832017.0,Tokopedia,58,Terdaftar,2015,30437016.0,150000000.0,58,0,Tinggi,50,10,0.8263738359380689,4.759500622517397,5.759500466145281
28828601.0,UD. Kinan Buana,Perdagangan,53,74,8687490.0,22517544.0,Website Sendiri,218,Belum Terdaftar,2004,13830054.0,381000000.0,218,0,Sedang,127,21,0.6141901348481817,1.5919503110852145,2.5919501959771813
28828602.0,UD. Niken Lintang,Jasa,57,64,2003545.0,21451451.0,Lazada,235,Belum Terdaftar,2016,19447906.0,363000000.0,235,0,Sedang,121,9,0.9066009144742276,9.706742944758943,10.706742445643874
28828603.0,UD. Lidya Pamungkas,Jasa,78,13,8284243.0,24895018.0,Tokopedia,190,Belum Terdaftar,2000,16610775.0,273000000.0,190,0,Sedang,91,25,0.6672328709610545,2.0051045092346387,3.0051043885235633
28828604.0,UD. Farid Agastya,Pendidikan,52,9,1435120.0,3900557.0,Bukalapak,788,Belum Terdaftar,2008,2465437.0,183000000.0,788,0,Rendah,61,17,0.632072898287886,1.7179297076692488,2.7179290108638923
28828605.0,UD. Yumna Sentosa,Perdagangan,98,16,3298391.0,6939332.0,Shopee,399,Belum Terdaftar,2024,3640941.0,342000000.0,399,0,Rendah,114,1,0.5246816949121768,1.1038533321691297,2.103853028991096
28828606.0,UD. Yusuf Suryaputra,Fashion,18,74,6119793.0,19493654.0,Tokopedia,964,Belum Terdaftar,2017,13373861.0,276000000.0,964,0,Sedang,92,8,0.6860622597455428,2.18534496422592,3.185344800821727
28828607.0,UD. Krisna Trisula,Fashion,33,14,8313438.0,20043328.0,Tokopedia,956,Terdaftar,2017,11729890.0,141000000.0,956,0,Sedang,47,8,0.5852266357549687,1.4109552015718165,2.4109550812846523
28828608.0,UD. Heri Wiyata,Makanan & Minuman,81,75,3281572.0,8348563.0,Shopee,186,Terdaftar,2012,5066991.0,468000000.0,186,0,Rendah,156,13,0.6069296468230944,1.5440738328844124,2.544073528152505
28828609.0,UD. Anang Baswara,Makanan & Minuman,13,2,5316536.0,47636417.0,Lazada,608,Terdaftar,2008,42319881.0,45000000.0,608,0,Tinggi,15,17,0.8883934346197063,7.960046361005293,8.960046172912932
28828610.0,UD. Gilang Galang,Makanan & Minuman,21,21,5753490.0,41790652.0,Lazada,505,Terdaftar,2020,36037162.0,126000000.0,505,0,Tinggi,42,5,0.8623258889972358,6.263529742203473,7.263529568395953
28828611.0,UD. Sekar Trijaya,Fashion,87,55,1564818.0,3613229.0,Website Sendiri,122,Terdaftar,2006,2048411.0,426000000.0,122,0,Rendah,142,19,0.5669196259302618,1.3090402148746916,2.3090395758231463
28828612.0,UD. Diyan Prawira,Perdagangan,12,58,1537363.0,29509796.0,Website Sendiri,768,Terdaftar,2004,27972433.0,210000000.0,768,0,Sedang,70,21,0.9479032675148528,18.19506180709318,19.19506115662914
28828613.0,UD. Fajar Darussalam Lukita,Jasa,63,25,4279679.0,14336128.0,Website Sendiri,130,Belum Terdaftar,2023,10056449.0,264000000.0,130,0,Rendah,88,2,0.7014759005028485,2.349813303798415,3.349813070136085
28828614.0,UD. Yumna Wira,Perdagangan,55,49,9483812.0,15051081.0,Bukalapak,952,Terdaftar,2007,5567269.0,312000000.0,952,0,Rendah,104,18,0.369891613107948,0.5870285506472976,1.5870284452044763
28828615.0,UD. Sani Segar,Makanan & Minuman,71,86,4595843.0,48877366.0,Shopee,822,Terdaftar,2022,44281523.0,471000000.0,822,0,Tinggi,157,3,0.9059719399369447,9.63512316780117,10.63512295021328
28828616.0,UD. Nazar Baruna,Perdagangan,41,79,8471642.0,19591921.0,Lazada,58,Belum Terdaftar,2000,11120279.0,360000000.0,58,0,Sedang,120,25,0.5675951037371423,1.312647263346673,2.312647145305816
28828617.0,UD. Nazar Dwijaputra Dito,Fashion,65,60,6367533.0,16430952.0,Lazada,177,Terdaftar,2000,10063419.0,375000000.0,177,0,Rendah,125,25,0.6124671526964991,1.5804264256775071,2.580426268630839
28828618.0,UD. Lutfi Reswara,Makanan & Minuman,62,54,2253804.0,21170169.0,Website Sendiri,227,Terdaftar,2023,18916365.0,348000000.0,227,0,Sedang,116,2,0.8935386442338441,8.393079702991164,9.393079259297055
28828619.0,UD. Ujang Wibawa,Perdagangan,41,63,8197878.0,11057708.0,Shopee,786,Belum Terdaftar,2022,2859830.0,312000000.0,786,0,Rendah,104,3,0.2586277139324249,0.3488499891252359,1.3488498671424645
28828620.0,UD. Jafar Sanjaya,Jasa,90,2,4532792.0,15019139.0,Website Sendiri,785,Terdaftar,2020,10486347.0,276000000.0,785,0,Rendah,92,5,0.6981988982058893,2.3134405211091704,3.31344030049464
28828621.0,UD. Xenia Nirbayu,Makanan & Minuman,33,29,5234170.0,21124439.0,Tokopedia,442,Terdaftar,2012,15890269.0,186000000.0,442,0,Sedang,62,13,0.7522220234003836,3.03587120099821,4.035871009945987
28828622.0,UD. Jihan Gatra,Jasa,28,57,2198887.0,3043503.0,Website Sendiri,189,Belum Terdaftar,2017,844616.0,255000000.0,189,0,Rendah,85,8,0.2775143387358781,0.38411051404164287,1.38411005926632
28828623.0,UD. Dewi Mandiri,Pendidikan,25,12,5082393.0,44835866.0,Shopee,503,Belum Terdaftar,2001,39753473.0,111000000.0,503,0,Tinggi,37,24,0.8866444581076128,7.821800710452594,8.821800513694924
28828624.0,UD. Fikri Jaladara,Kesehatan,22,71,8521201.0,31411063.0,Lazada,803,Belum Terdaftar,2008,22889862.0,279000000.0,803,0,Sedang,93,17,0.7287197275456826,2.6862245490718326,3.686224431717497
28828625.0,UD. Lukman Wangi,Perdagangan,35,23,2349733.0,19402681.0,Shopee,765,Terdaftar,2022,17052948.0,174000000.0,765,0,Sedang,58,3,0.8788964329776677,7.257395092380669,8.257394666800582
28828626.0,UD. Jasmin Prajurit,Perdagangan,8,68,9078456.0,46549795.0,Lazada,405,Terdaftar,2005,37471339.0,228000000.0,405,0,Tinggi,76,20,0.8049732162091537,4.127500851741656,5.127500741590779
28828627.0,UD. Ony Mayang,Kesehatan,84,6,5652991.0,33930538.0,Shopee,618,Terdaftar,2020,28277547.0,270000000.0,618,0,Tinggi,90,5,0.833395160625064,5.002226608493343,6.0022264315958695
28828628.0,UD. Gema Prana,Jasa,41,50,9929308.0,2320739.0,Shopee,502,Terdaftar,2024,-7608569.0,273000000.0,502,1,Rendah,91,1,-3.27850987185122,-0.7662737658783708,0.23372613340968643
28828629.0,UD. Celsi Cahyaningrat,Kesehatan,99,53,3607300.0,5946689.0,Lazada,329,Terdaftar,2018,2339389.0,456000000.0,329,0,Rendah,152,7,0.3933934676265284,0.648515053221231,1.6485147760056618
28828630.0,UD. Ucup Tirtayasa,Makanan & Minuman,66,50,9754163.0,40253559.0,Tokopedia,720,Terdaftar,2023,30499396.0,348000000.0,720,0,Tinggi,116,2,0.7576819540930044,3.1268077920363035,4.126807689515985
28828631.0,UD. Hilmiyah Tunggul,Jasa,6,26,3383876.0,4000272.0,Shopee,384,Belum Terdaftar,2021,616396.0,96000000.0,384,0,Rendah,32,4,0.1540884834610038,0.18215673914861563,1.1821564436296
28828632.0,UD. Cipta Nawasena Qira,Perdagangan,22,11,3625751.0,8055755.0,Shopee,857,Terdaftar,2014,4430004.0,99000000.0,857,0,Rendah,33,11,0.5499178475614207,1.2218166052173454,2.2218163294124915
28828633.0,UD. Ony Nawasena,Pendidikan,31,40,9283358.0,28633735.0,Bukalapak,675,Belum Terdaftar,2008,19350377.0,213000000.0,675,0,Sedang,71,17,0.6757894603763895,2.084415457810045,3.0844153500904143
28828634.0,UD. Livia Wijaya,Jasa,22,88,624431.0,22106121.0,Website Sendiri,98,Terdaftar,2013,21481690.0,330000000.0,98,0,Sedang,110,12,0.9717529831781441,34.401968508980964,35.40196690752556
28828635.0,UD. Carissa Rejo,Pendidikan,15,32,1713807.0,49053971.0,Bukalapak,385,Terdaftar,2008,47340164.0,141000000.0,385,0,Tinggi,47,17,0.9650628087772383,27.622793218376856,28.62279263488092
28828636.0,UD. Qisya Berkarya Pandu,Perdagangan,68,78,2876700.0,21587581.0,Shopee,556,Belum Terdaftar,2020,18710881.0,438000000.0,556,0,Sedang,146,5,0.866742787589643,6.504284247824157,7.50428390020374
28828637.0,UD. Ujang Kusumah Erlangga,Jasa,12,30,5601571.0,14916664.0,Shopee,628,Belum Terdaftar,2022,9315093.0,126000000.0,628,0,Rendah,42,3,0.6244755781536959,1.6629426525268265,2.6629424740055114
28828638.0,UD. Nina Sanjaya,Pendidikan,9,10,1317922.0,10659378.0,Shopee,358,Terdaftar,2021,9341456.0,57000000.0,358,0,Rendah,19,4,0.8763602457516522,7.088013487889657,8.088012729119987
28828639.0,UD. Jihan Prima,Jasa,58,35,8823691.0,36100504.0,Tokopedia,443,Belum Terdaftar,2001,27276813.0,279000000.0,443,0,Tinggi,93,24,0.755579818066257,3.091315177365665,4.09131506403442
28828640.0,UD. Mira Kelana,Kesehatan,1,5,8472112.0,31463643.0,Bukalapak,243,Belum Terdaftar,2007,22991531.0,18000000.0,243,0,Sedang,6,18,0.7307332551817584,2.7137894643284386,3.71378934629413
28828641.0,UD. Jaya Ayodya,Jasa,79,44,9556446.0,27716675.0,Website Sendiri,869,Terdaftar,2014,18160229.0,296371183.91660464,869,0,Sedang,123,11,0.6552094847159883,1.9003117999817296,2.9003116953403287
28828642.0,UD. Niken Arya,Perdagangan,51,59,5654448.0,20659180.0,Tokopedia,153,Belum Terdaftar,2023,15004732.0,330000000.0,153,0,Sedang,110,2,0.7262984916972265,2.6536152328900657,3.6536150560381744
28828643.0,UD. Sekar Siang,Kesehatan,0,89,4576055.0,13784473.0,Lazada,604,Terdaftar,2011,9208418.0,267000000.0,604,0,Rendah,89,14,0.6680282468522194,2.0123044822878042,3.01230426375901
28828644.0,UD. Hanafi Bagaskara,Perdagangan,69,71,1275561.0,21044172.0,Shopee,689,Terdaftar,2008,19768611.0,420000000.0,689,0,Sedang,140,17,0.9393864515369647,15.497961682771987,16.49796089880382
28828645.0,UD. Gema Wijaksana,Perdagangan,53,36,3859502.0,26304658.0,Tokopedia,783,Belum Terdaftar,2010,22445156.0,267000000.0,783,0,Sedang,89,15,0.8532768282607275,5.8155560443922445,6.815555785291526
28828646.0,UD. Eddy Wira,Perdagangan,18,29,4545348.0,34126892.0,Lazada,612,Terdaftar,2016,29581544.0,141000000.0,612,0,Tinggi,47,9,0.8668103480735853,6.508090797868326,7.508090577863218
28828647.0,UD. Marsel Gandewa,Jasa,96,37,2446193.0,42005804.0,Shopee,76,Terdaftar,2013,39559611.0,399000000.0,76,0,Tinggi,133,12,0.941765334576971,16.171902555561825,17.171902146763504
28828648.0,UD. Niken Ananta,Perdagangan,27,15,1453143.0,43793219.0,Tokopedia,666,Terdaftar,2005,42340076.0,126000000.0,666,0,Tinggi,42,20,0.9668180599645333,29.136875629669188,30.13687494150614
28828649.0,UD. Qyla Prana Balqis,Jasa,4,78,4391363.0,49396220.0,Shopee,809,Terdaftar,2019,45004857.0,246000000.0,809,0,Tinggi,82,6,0.9110991911709198,10.248491584846986,11.248491357127307
28828650.0,UD. Prananda Manggala,Pendidikan,75,37,1751832.0,43957907.0,Bukalapak,417,Terdaftar,2021,42206075.0,336000000.0,417,0,Tinggi,112,4,0.9601474892754223,24.092521947012074,25.092521376181406
28828651.0,UD. Qanita Mandiri,Perdagangan,29,52,9060988.0,12455336.0,Shopee,684,Terdaftar,2002,3394348.0,243000000.0,684,0,Rendah,81,23,0.27252157047215986,0.3746112041411815,1.374611093777953
28828652.0,UD. Tania Madani,Pendidikan,80,7,6910775.0,22777305.0,Website Sendiri,105,Terdaftar,2024,15866530.0,261000000.0,105,0,Sedang,87,1,0.6965937938402373,2.295911486640574,3.295911341939024
28828653.0,UD. Wulan Sukma Fikri,Kesehatan,18,98,7023060.0,38011563.0,Website Sendiri,574,Terdaftar,2012,30988503.0,348000000.0,574,0,Tinggi,116,13,0.8152388310041649,4.412392687462063,5.412392545074007
28828654.0,UD. Chiko Tejakencana Pandu,Makanan & Minuman,41,8,7011130.0,41076645.0,Shopee,901,Terdaftar,2015,34065515.0,147000000.0,901,0,Tinggi,49,10,0.829315884261826,4.858775994914373,5.858775852284032
28828655.0,UD. Candra Kalbu,Perdagangan,24,20,5748456.0,35167429.0,Tokopedia,920,Terdaftar,2011,29418973.0,132000000.0,920,0,Tinggi,44,14,0.8365403158547554,5.117716458520956,6.117716284561231
28828656.0,UD. Delia Paseban,Jasa,34,40,9619374.0,35581221.0,Lazada,942,Belum Terdaftar,2021,25961847.0,222000000.0,942,0,Tinggi,74,4,0.7296502351717993,2.698912039503606,3.698911935546748
28828657.0,UD. Taufan Jatiwangi,Perdagangan,8,68,5995579.0,8846732.0,Lazada,418,Terdaftar,2012,2851153.0,228000000.0,418,0,Rendah,76,13,0.32228315243604616,0.475542482962449,1.475542316172914
28828658.0,UD. Kamil Nirmala,Perdagangan,95,18,514600.0,2703541.0,Website Sendiri,606,Terdaftar,2021,2188941.0,339000000.0,606,0,Rendah,113,4,0.8096567391962101,4.253666432828541,5.253664489575419
28828659.0,UD. Damar Wibawa,Makanan & Minuman,38,79,2653894.0,12152355.0,Website Sendiri,983,Terdaftar,2018,9498461.0,351000000.0,983,0,Rendah,117,7,0.7816147749456978,3.5790643563517017,4.579063979547043
28828660.0,UD. Berlian Cempaka,Perdagangan,55,17,8390333.0,11467618.0,Tokopedia,416,Terdaftar,2020,3077285.0,216000000.0,416,0,Rendah,72,5,0.2683455911815696,0.36676549467518216,1.3667653754904154
28828661.0,UD. Riko Wening,Fashion,37,75,5983839.0,26039591.0,Bukalapak,64,Terdaftar,2008,20055752.0,336000000.0,64,0,Sedang,112,17,0.770202236655628,3.3516524506002834,4.351652283483515
28828662.0,UD. Fani Manik,Fashion,14,79,983727.0,33508384.0,Website Sendiri,16,Terdaftar,2023,32524657.0,279000000.0,16,0,Sedang,93,2,0.9706423332547958,33.06265248117366,34.0626514646325
28828663.0,UD. Xenia Paningrat Najwa,Jasa,45,4,2992835.0,22527761.0,Website Sendiri,270,Terdaftar,2009,19534926.0,147000000.0,270,0,Sedang,49,16,0.8671489871031131,6.527229022906702,7.5272286887754625
28828664.0,UD. Wira Gatra,Jasa,36,66,3638845.0,23829753.0,Shopee,983,Terdaftar,2018,20190908.0,306000000.0,983,0,Sedang,102,7,0.8472982138212589,5.548711871840688,6.548711597028289
28828665.0,UD. Jay Wiyata,Perdagangan,89,70,9687373.0,7985555.0,Bukalapak,860,Terdaftar,2016,-1701818.0,477000000.0,860,1,Rendah,159,9,-0.21311202375889668,-0.17567382037691534,0.8243260763959356
28828666.0,UD. Lono Senopati,Perdagangan,59,31,3995268.0,17735934.0,Bukalapak,628,Terdaftar,2021,13740666.0,270000000.0,628,0,Sedang,90,4,0.7747359245509188,3.4392342543142904,4.439234004018252
28828667.0,UD. Via Wijapranata Yusuf,Makanan & Minuman,61,94,6403103.0,44398258.0,Website Sendiri,720,Belum Terdaftar,2006,37995155.0,465000000.0,720,0,Tinggi,155,19,0.8557802908442874,5.933865044203562,6.933864888029306
28828668.0,UD. Krisna Segar,Pendidikan,30,77,8955003.0,2617312.0,Shopee,977,Terdaftar,2024,-6337691.0,321000000.0,977,1,Rendah,107,1,-2.421449402497905,-0.7077262053707626,0.2922736829598289
28828669.0,UD. Pasha Atma,Makanan & Minuman,29,87,6198421.0,14974366.0,Tokopedia,589,Terdaftar,2023,8775945.0,348000000.0,589,0,Rendah,116,2,0.5860645060989891,1.4158353529333756,2.4158351916019916
28828670.0,UD. Vidi Warna,Pendidikan,65,47,4581101.0,4193956.0,Lazada,15,Belum Terdaftar,2016,-387145.0,296371183.91660464,15,1,Rendah,112,9,-0.09231019774403981,-0.0845091421234454,0.9154906395884659
28828671.0,UD. Gusti Sanjaya,Pendidikan,6,32,1488268.0,20854712.0,Website Sendiri,901,Belum Terdaftar,2013,19366444.0,114000000.0,901,0,Sedang,38,12,0.9286363231179446,13.012730897438567,14.012730225517027
28828672.0,UD. Pandu Adhi,Jasa,29,68,7904087.0,33026450.0,Lazada,878,Terdaftar,2003,25122363.0,291000000.0,878,0,Sedang,97,22,0.7606740124756366,3.178401227314271,4.178401100797461
28828673.0,UD. Zulkarnaen Agastya,Perdagangan,32,71,9510396.0,42483616.0,Lazada,915,Belum Terdaftar,2015,32973220.0,309000000.0,915,0,Tinggi,103,10,0.7761396587300935,3.4670708278529276,4.467070722704846
28828674.0,UD. Qanitah Nusa,Perdagangan,37,1,5198349.0,35555936.0,Lazada,827,Belum Terdaftar,2019,30357587.0,114000000.0,827,0,Tinggi,38,6,0.8537979747236024,5.839850529494936,6.839850337126204
28828675.0,UD. Wira Kamajaya,Perdagangan,83,53,6846532.0,30415011.0,Website Sendiri,517,Terdaftar,2000,23568479.0,408000000.0,517,0,Sedang,136,25,0.7748962584660496,3.442396173362489,4.442396027303162
28828676.0,UD. Anisa Galuh,Kesehatan,18,41,9388786.0,45365124.0,Tokopedia,890,Belum Terdaftar,2005,35976338.0,177000000.0,890,0,Tinggi,59,20,0.7930395430410475,3.8318408970189655,4.831840790508934
28828677.0,UD. Iqra Abadi,Perdagangan,8,34,9466333.0,7317305.0,Bukalapak,261,Terdaftar,2016,-2149028.0,126000000.0,261,1,Rendah,42,9,-0.2936911480810014,-0.22701797760357917,0.7729819167589058
28828678.0,UD. Ucup Jatiwangi,Kesehatan,85,60,5690300.0,49554542.0,Shopee,407,Belum Terdaftar,2017,43864242.0,435000000.0,407,0,Tinggi,145,8,0.8851709519347197,7.708597840430586,8.708597664692958
28828679.0,UD. Desi Tirta,Jasa,31,59,9647996.0,21893566.0,Bukalapak,534,Belum Terdaftar,2017,12245570.0,270000000.0,534,0,Sedang,90,8,0.5593227453525503,1.2692344328050682,2.2692343291566113
28828680.0,UD. Lukita Panji,Pendidikan,29,97,1083127.0,32255212.0,Shopee,633,Belum Terdaftar,2020,31172085.0,378000000.0,633,0,Sedang,126,5,0.9664200636343651,28.77968716532118,29.779686242069268
28828681.0,UD. Okta Tejakencana,Perdagangan,5,93,4729202.0,26166349.0,Bukalapak,883,Terdaftar,2024,21437147.0,294000000.0,883,0,Sedang,98,1,0.8192639401368551,4.532930178721446,5.532929967269326
28828682.0,UD. Farhan Sukarela Qomar,Perdagangan,60,48,7768394.0,25032131.0,Website Sendiri,265,Belum Terdaftar,2011,17263737.0,324000000.0,265,0,Sedang,108,14,0.6896630698495837,2.2223042211422053,3.222304092415486
28828683.0,UD. Qamar Bahagia,Makanan & Minuman,80,22,4933187.0,45639857.0,Website Sendiri,895,Belum Terdaftar,2004,40706670.0,306000000.0,895,0,Tinggi,102,21,0.891910531360549,8.25159511455878,9.251594911850106
28828684.0,UD. Ina Sumirat,Jasa,36,67,6064560.0,11604241.0,Lazada,80,Terdaftar,2016,5539681.0,309000000.0,80,0,Rendah,103,9,0.47738413245776845,0.9134512786663371,1.91345111377394
28828685.0,UD. Lidya Cinta,Perdagangan,78,34,3297749.0,32063713.0,Shopee,414,Terdaftar,2019,28765964.0,336000000.0,414,0,Sedang,112,6,0.8971500930927715,8.722906223940566,9.72290592070351
28828686.0,UD. Balqis Sehat,Jasa,70,13,4389594.0,26914736.0,Tokopedia,746,Terdaftar,2004,22525142.0,249000000.0,746,0,Sedang,83,21,0.8369073790317921,5.131485250917226,6.1314850231057765
28828687.0,UD. Alya Sukarela,Pendidikan,77,21,7742494.0,7072143.0,Website Sendiri,404,Belum Terdaftar,2009,-670351.0,294000000.0,404,1,Rendah,98,16,-0.09478752129481527,-0.0865807469039373,0.9134191239387304
